reason,key,text
missing_keypoint_dir,-b44ieHORm4_8-5-rgb_front,Cool.
missing_keypoint_dir,006DXpJ9erw_8-5-rgb_front,Thank you for listening.
missing_keypoint_dir,08JotxFsA4Y_11-5-rgb_front,That's filling in eyebrows!
missing_keypoint_dir,09KiqMdCSKc_22-8-rgb_front,Now I'm ready to put the lid color on.
missing_keypoint_dir,0E4mKYwAhOs_8-8-rgb_front,This is how it goes.
missing_keypoint_dir,0Esq_TAc-1Y_19-5-rgb_front,"This type of thinning shear has the tines cut into the blade on one side and the other side as you can see, is just the blade; it's flat."
missing_keypoint_dir,0Esq_TAc-1Y_20-5-rgb_front,You can use on different parts of the dog.
missing_keypoint_dir,0Esq_TAc-1Y_21-5-rgb_front,"Again, when you're working around the face, working on the feet."
missing_keypoint_dir,0Esq_TAc-1Y_22-5-rgb_front,"You would really have no reason to cut the body hair, but if you are not showing your dog and you do want to trim up some of it then this would give you a more natural look than if you just used the straight shears, which would just cut a blunt end."
missing_keypoint_dir,0Esq_TAc-1Y_23-5-rgb_front,Most dog breeds when you're showing them should not be scissored.
missing_keypoint_dir,0Esq_TAc-1Y_24-5-rgb_front,"It happens, but they shouldn't be."
missing_keypoint_dir,0Esq_TAc-1Y_25-5-rgb_front,"If you've got a dog at home and you just want to trim some of the coat off, then scissors can be very handy to use."
missing_keypoint_dir,0Esq_TAc-1Y_26-5-rgb_front,"Important when you're getting scissors, make sure they're comfortable in your hands, that the blade is a good quality and you can get them sharpened."
missing_keypoint_dir,0Esq_TAc-1Y_27-5-rgb_front,"Depending on how much you use them, you ought to get them sharpened about once a year."
missing_keypoint_dir,0Esq_TAc-1Y_28-5-rgb_front,You don't want to be pulling or breaking the dog's coat when you're using them on the coat.
missing_keypoint_dir,0Gyur-C_KEo_8-5-rgb_front,"And, this is something we're going to discuss later."
missing_keypoint_dir,0H60j0VxTaE_25-5-rgb_front,"You need a pair of socks; they have to come up to your shin, they have to come up to your pants."
missing_keypoint_dir,0H60j0VxTaE_26-5-rgb_front,You need a pair of shoes.
